gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,46,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),83.61,3823.96,No
Female,0,Yes,No,30,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.16,2445.16,No
Male,0,No,Yes,67,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),68.76,4528.56,No
Male,0,Yes,No,33,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,64.62,2223.13,No
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.07,26.83,Yes
Female,1,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.78,1646.12,No
Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.08,1403.97,No
Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.23,1505.27,No
Female,0,No,No,58,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.41,3060.26,No
Male,0,No,Yes,57,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,58.74,3403.4,Yes
Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,57.24,18.0,Yes
Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.69,1671.46,No
Male,1,No,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.99,6090.41,Yes
Male,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),92.19,5490.97,No
Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.3,1322.7,No
Female,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.26,3236.77,No
Female,1,No,No,25,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,56.78,1262.79,Yes
Female,0,No,No,42,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.89,2410.17,Yes
Female,0,Yes,Yes,29,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),49.52,1465.58,No
Male,0,No,Yes,25,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,58.84,1365.2,No
Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),77.14,4103.75,No
Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.95,1773.44,Yes
Male,0,No,No,15,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,71.31,1053.26,No
Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.27,342.96,Yes
Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),83.3,3217.88,No
Female,1,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.46,682.51,No
Male,1,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.49,1891.57,Yes
Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.35,615.2,Yes
Female,0,Yes,No,62,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,81.67,5046.59,No
Male,0,No,No,8,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),55.41,412.88,No
Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,109.8,4033.58,No
Male,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,71.02,3235.0,No
Male,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),92.3,3077.29,No
Male,0,Yes,Yes,7,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),65.19,382.58,Yes
Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.39,2004.53,No
Male,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.69,156.97,Yes
Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,70.34,1123.81,Yes
Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.61,578.67,No
Female,0,No,No,17,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,55.55,965.94,Yes
Male,0,Yes,No,56,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.05,3706.51,No
Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),92.29,4637.71,Yes
Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,75.75,No
Female,0,No,No,50,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),78.39,3891.55,No
Female,0,Yes,No,60,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,65.08,3856.99,No
Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),61.8,488.67,No
Female,1,Yes,No,40,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),80.55,3203.6,No
Male,1,Yes,No,45,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,48.38,2164.75,Yes
Female,1,Yes,Yes,59,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.39,5165.16,Yes
Female,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.64,1543.92,No
Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.34,1522.15,No
Male,1,No,Yes,65,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.74,3043.1,No
Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),69.29,3735.79,No
Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),95.8,3892.71,No
Female,0,No,No,53,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,56.18,2974.43,No
Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),92.14,4005.95,No
Female,1,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.99,4677.87,No
Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,85.12,188.68,No
Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,59.6,1244.73,Yes
Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),29.87,1574.2,No
Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.98,4147.87,No
Female,0,No,No,9,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.91,622.26,No
Female,0,Yes,Yes,20,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,66.6,1370.4,No
Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,86.03,1553.13,Yes
Female,1,No,Yes,30,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.42,2845.13,Yes
Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.38,4780.87,No
Female,0,No,No,24,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.58,1201.89,Yes
Female,0,Yes,No,47,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,64.81,3053.9,No
Female,0,No,No,44,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.88,4013.88,No
Female,0,Yes,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,64.09,1862.69,No
Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.5,6224.9,No
Female,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.21,1106.61,No
Male,0,No,Yes,5,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),57.3,288.59,No
Male,1,Yes,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.75,2773.39,No
Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),83.99,3413.55,Yes
Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,97.91,4459.44,No
Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.38,1371.83,No
Female,0,Yes,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,140.45,No
Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.34,910.39,No
Female,1,No,Yes,13,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,57.1,799.02,Yes
Female,1,Yes,No,64,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.42,5193.2,Yes
Female,0,Yes,No,8,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.74,442.23,Yes
Male,1,No,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1129.64,No
Female,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,152.81,No
Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,83.1,284.53,No
Female,0,No,No,13,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),57.69,630.14,No
Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.15,85.37,No
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,101.92,6904.0,No
Female,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),89.05,4272.14,No
Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.98,163.92,No
Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.49,5183.39,No
Female,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.34,332.68,No
Male,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.76,419.1,Yes
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,81.29,288.91,No
Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.83,319.89,Yes
Female,1,Yes,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.87,3319.73,Yes
Male,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.69,1653.62,Yes
Male,1,No,Yes,14,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,57.52,860.37,No
Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.93,1831.72,No
Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.12,1093.85,Yes
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.02,2707.09,No
Female,1,Yes,No,21,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.57,1511.89,Yes
Female,0,Yes,No,36,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,62.66,2316.75,No
Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.47,2137.65,Yes
Male,0,No,Yes,54,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,57.97,3149.11,No
Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,92.51,3456.73,No
Male,0,Yes,No,17,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,61.75,1037.18,No
Male,0,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.73,406.93,Yes
Male,1,Yes,Yes,45,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),68.12,3149.72,No
Male,0,Yes,Yes,61,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),62.94,3825.12,No
Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),91.74,1005.79,No
Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.71,1270.69,No
Male,1,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.35,696.75,No
Female,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.79,1460.65,No
Male,0,Yes,No,33,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),61.89,1999.34,No
Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),55.11,2325.57,No
Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.72,565.99,Yes
Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.2,674.1,No
Male,0,Yes,No,37,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.38,3025.07,Yes
Male,0,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.9,3314.44,No
Male,0,No,No,23,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,60.12,1358.95,No
Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.67,1044.25,No
Female,0,No,No,40,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),67.19,2721.01,No
Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),82.42,1200.39,Yes
Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.54,969.63,Yes
Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,87.46,352.84,No
Male,0,Yes,Yes,22,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.83,1234.85,Yes
Male,0,Yes,No,22,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),62.72,1347.34,No
Female,0,Yes,No,17,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,48.38,804.54,No
Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.87,5727.42,No
Female,0,No,Yes,38,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.52,3090.13,Yes
Male,0,Yes,No,24,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),59.4,1368.34,No
Female,0,No,No,6,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),49.16,328.22,No
Male,0,Yes,No,68,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.55,3629.88,No
Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.64,161.34,Yes
Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.07,767.26,No
Female,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,78.39,3201.91,No
Female,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.86,1059.04,No
Male,1,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.12,3845.42,Yes
Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),81.17,4309.63,No
Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.34,1090.44,Yes
Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.4,4690.19,No
Female,0,Yes,No,56,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,60.52,3458.52,Yes
Female,0,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),90.27,2685.34,No
Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.49,1536.69,Yes
Male,0,Yes,No,51,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,56.99,2896.67,No
Female,1,No,Yes,24,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.99,1657.25,Yes
Female,0,No,Yes,58,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,53.27,3060.95,No
Female,0,No,Yes,4,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),50.98,273.01,No
Male,0,No,No,10,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),66.18,652.3,No
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,90.87,5733.58,No
Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,47.65,734.92,No
Male,0,Yes,No,63,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),53.86,3399.9,No
Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.4,377.54,No
Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,87.17,5505.78,No
Female,0,Yes,No,56,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,62.55,3478.2,No
Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,85.75,1786.3,Yes
Male,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),92.13,3184.11,No
Male,1,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.95,414.95,No
Female,1,No,No,18,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,63.5,1102.37,No
Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.19,1906.74,No
Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.82,926.08,No
Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,31.41,1991.9,No
Male,0,No,No,43,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,60.48,2589.36,No
Male,1,No,No,57,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.61,3253.3,Yes
Male,0,No,Yes,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.61,625.16,No
